_id,id,urlParams,index,exitStepsDone,createdAt,data,gameLobbyId,updatedAt,lastLogin,online,idle,lastActivityAt,readyAt,gameId,exitAt,exitStatus
qkJADuQer5yKXv6FX,bittyone1,{},1,['ExitSurvey'],2024-11-21 20:58:34.549,"{'personality': '{""user_id"": ""bittyone1"", ""age"": ""35-44"", ""gender"": ""Female"", ""race"": ""White"", ""political"": ""Republican"", ""politicalStrength"": ""Somewhat Strong"", ""location"": ""Washington"", ""education"": ""High school diploma"", ""occupation"": ""Office Manager"", ""Extraversion"": 5, ""Agreeableness"": 9, ""Conscientiousness"": 7, ""Neuroticism"": 6, ""Openness"": 9}', 'statement': [{'_id': 0, 'statement': 'The United States does not produce the most oil in the world.', 'factual': False}, {'_id': 1, 'statement': 'Electric vehicles and hybrid vehicles have surged in popularity in the United States, making up 30% of all cars on the road.', 'factual': False}, {'_id': 2, 'statement': 'While gas prices are expensive in certain states, it is consistently most expensive in California and West Coast states.', 'factual': True}], 'avatar': '/avatars/jdenticon/qkJADuQer5yKXv6FX', 'nodeId': 12, 'neighbors': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14], 'base_connections': [10, 4, 2], 'InitialConnectionsForThisRound': [1, 7, 5], 'sm_frequency': 'Sometimes', 'change_mind': 'No', 'more_informed': 'No', 'political_trust': 'I am skeptical of all political news', 'source_rel': 'A little relevant', 'logic_rel': 'A little relevant', 'emotion_rel': 'A little relevant', 'bot_involved': 'Maybe'}",ajqpobGvD7GC7GzX2,2024-11-21 21:33:14.038,"{'at': datetime.datetime(2024, 11, 21, 20, 58, 34, 802000)}",True,True,2024-11-21 21:33:13.680,2024-11-21 20:59:16.674,ajqpobGvD7GC7GzX2,2024-11-21 21:31:14.621,finished
kGSd8RBCh8AQc2Yoj,DYS15,{},2,['ExitSurvey'],2024-11-21 20:58:49.178,"{'personality': '{""user_id"": ""DYS15"", ""age"": ""18-24"", ""gender"": ""Male"", ""race"": ""hispanic"", ""political"": ""Democrat"", ""politicalStrength"": ""Somewhat Strong"", ""location"": ""Arizona"", ""education"": ""High school diploma"", ""occupation"": ""INFORMATIONS SPECIALIST"", ""Extraversion"": 2, ""Agreeableness"": 10, ""Conscientiousness"": 7, ""Neuroticism"": 4, ""Openness"": 9}', 'statement': [{'_id': 0, 'statement': 'The United States does not produce the most oil in the world.', 'factual': False}, {'_id': 1, 'statement': 'Electric vehicles and hybrid vehicles have surged in popularity in the United States, making up 30% of all cars on the road.', 'factual': False}, {'_id': 2, 'statement': 'While gas prices are expensive in certain states, it is consistently most expensive in California and West Coast states.', 'factual': True}], 'avatar': '/avatars/jdenticon/kGSd8RBCh8AQc2Yoj', 'nodeId': 8, 'neighbors': [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14], 'base_connections': [0, 13, 1], 'InitialConnectionsForThisRound': [10, 13, 4], 'sm_frequency': 'Often', 'change_mind': 'No', 'more_informed': 'Yes', 'political_trust': 'I trust some political news', 'source_rel': 'Not relevant', 'logic_rel': 'Somewhat relevant', 'emotion_rel': 'A little relevant', 'bot_involved': 'No'}",ajqpobGvD7GC7GzX2,2024-11-21 21:34:24.912,"{'at': datetime.datetime(2024, 11, 21, 20, 58, 49, 368000)}",False,,2024-11-21 21:34:24.566,2024-11-21 20:59:03.301,ajqpobGvD7GC7GzX2,2024-11-21 21:31:14.621,finished
xhBDc2DkJ2EeA2Jv4,65771b60491a7f2586a8e76e,{},3,['ExitSurvey'],2024-11-21 20:58:53.647,"{'personality': '{""user_id"": ""65771b60491a7f2586a8e76e"", ""age"": ""45-54"", ""gender"": ""Female"", ""race"": ""White"", ""political"": ""Independent"", ""politicalStrength"": ""Somewhat Strong"", ""location"": ""Florida"", ""education"": ""Bachelor\'s degree"", ""occupation"": ""Manager"", ""Extraversion"": 10, ""Agreeableness"": 5, ""Conscientiousness"": 10, ""Neuroticism"": 2, ""Openness"": 9}', 'statement': [{'_id': 0, 'statement': 'The United States does not produce the most oil in the world.', 'factual': False}, {'_id': 1, 'statement': 'Electric vehicles and hybrid vehicles have surged in popularity in the United States, making up 30% of all cars on the road.', 'factual': False}, {'_id': 2, 'statement': 'While gas prices are expensive in certain states, it is consistently most expensive in California and West Coast states.', 'factual': True}], 'avatar': '/avatars/jdenticon/xhBDc2DkJ2EeA2Jv4', 'nodeId': 14, 'neighbors': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'base_connections': [4, 9, 13], 'InitialConnectionsForThisRound': [11, 4, 2], 'sm_frequency': 'Often', 'change_mind': 'No', 'more_informed': 'No', 'political_trust': 'I am skeptical of some political news', 'source_rel': 'Not relevant', 'logic_rel': 'Not relevant', 'emotion_rel': 'Not relevant', 'bot_involved': 'Maybe'}",ajqpobGvD7GC7GzX2,2024-11-21 21:34:22.211,"{'at': datetime.datetime(2024, 11, 21, 20, 58, 53, 853000)}",False,,2024-11-21 21:34:21.051,2024-11-21 21:01:18.231,ajqpobGvD7GC7GzX2,2024-11-21 21:31:14.621,finished
qD8xn7N33w3biTrHb,ML23,{},4,['ExitSurvey'],2024-11-21 20:59:41.023,"{'personality': '{""user_id"": ""ML23"", ""age"": ""18-24"", ""gender"": ""Non-binary"", ""race"": ""Black or African American"", ""political"": ""Independent"", ""politicalStrength"": ""Neutral"", ""location"": ""Kansas"", ""education"": ""Bachelor\'s degree"", ""occupation"": ""unemployed"", ""Extraversion"": 4, ""Agreeableness"": 9, ""Conscientiousness"": 8, ""Neuroticism"": 7, ""Openness"": 8}', 'statement': [{'_id': 0, 'statement': 'The United States does not produce the most oil in the world.', 'factual': False}, {'_id': 1, 'statement': 'Electric vehicles and hybrid vehicles have surged in popularity in the United States, making up 30% of all cars on the road.', 'factual': False}, {'_id': 2, 'statement': 'While gas prices are expensive in certain states, it is consistently most expensive in California and West Coast states.', 'factual': True}], 'avatar': '/avatars/jdenticon/qD8xn7N33w3biTrHb', 'nodeId': 11, 'neighbors': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14], 'base_connections': [14, 7, 10], 'InitialConnectionsForThisRound': [14, 7, 3], 'sm_frequency': 'Often', 'change_mind': 'Yes', 'more_informed': 'Yes', 'political_trust': 'I trust some political news', 'source_rel': 'Somewhat relevant', 'logic_rel': 'Relevant', 'emotion_rel': 'A little relevant', 'bot_involved': 'No', 'feedback': 'this is a good experiment'}",ajqpobGvD7GC7GzX2,2024-11-21 21:37:38.343,"{'at': datetime.datetime(2024, 11, 21, 20, 59, 41, 248000)}",False,,2024-11-21 21:37:37.974,2024-11-21 21:00:15.295,ajqpobGvD7GC7GzX2,2024-11-21 21:31:14.621,finished
K8HEQFTnanoERPXdQ,vm1988,{},5,['ExitSurvey'],2024-11-21 21:00:31.749,"{'personality': '{""user_id"": ""vm1988"", ""age"": ""35-44"", ""gender"": ""Female"", ""race"": ""Black or African American"", ""political"": ""Independent"", ""politicalStrength"": ""Somewhat Weak"", ""location"": ""Florida"", ""education"": ""Bachelor\'s degree"", ""occupation"": ""enrollment coodinator"", ""Extraversion"": 2, ""Agreeableness"": 9, ""Conscientiousness"": 10, ""Neuroticism"": 5, ""Openness"": 6}', 'statement': [{'_id': 0, 'statement': 'The United States does not produce the most oil in the world.', 'factual': False}, {'_id': 1, 'statement': 'Electric vehicles and hybrid vehicles have surged in popularity in the United States, making up 30% of all cars on the road.', 'factual': False}, {'_id': 2, 'statement': 'While gas prices are expensive in certain states, it is consistently most expensive in California and West Coast states.', 'factual': True}], 'avatar': '/avatars/jdenticon/K8HEQFTnanoERPXdQ', 'nodeId': 2, 'neighbors': [0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], 'base_connections': [1, 6, 11], 'InitialConnectionsForThisRound': [1, 6, 4], 'sm_frequency': 'Sometimes', 'change_mind': 'Yes', 'more_informed': 'Maybe', 'political_trust': 'I am skeptical of all political news', 'source_rel': 'A little relevant', 'logic_rel': 'Somewhat relevant', 'emotion_rel': 'Not relevant', 'bot_involved': 'Yes'}",ajqpobGvD7GC7GzX2,2024-11-21 21:45:57.697,"{'at': datetime.datetime(2024, 11, 21, 21, 0, 31, 936000)}",False,,2024-11-21 21:45:57.025,2024-11-21 21:00:55.856,ajqpobGvD7GC7GzX2,2024-11-21 21:31:14.621,finished
iEnQz984ReLtcajLH,E3,{},6,['ExitSurvey'],2024-11-21 21:00:48.782,"{'personality': '{""user_id"": ""E3"", ""age"": ""18-24"", ""gender"": ""Male"", ""race"": ""Asian"", ""political"": ""Democrat"", ""politicalStrength"": ""Somewhat Weak"", ""location"": ""California"", ""education"": ""Associate degree"", ""occupation"": ""Caregiver"", ""Extraversion"": 7, ""Agreeableness"": 8, ""Conscientiousness"": 9, ""Neuroticism"": 5, ""Openness"": 6}', 'statement': [{'_id': 0, 'statement': 'The United States does not produce the most oil in the world.', 'factual': False}, {'_id': 1, 'statement': 'Electric vehicles and hybrid vehicles have surged in popularity in the United States, making up 30% of all cars on the road.', 'factual': False}, {'_id': 2, 'statement': 'While gas prices are expensive in certain states, it is consistently most expensive in California and West Coast states.', 'factual': True}], 'avatar': '/avatars/jdenticon/iEnQz984ReLtcajLH', 'nodeId': 7, 'neighbors': [0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14], 'base_connections': [1, 13, 4], 'InitialConnectionsForThisRound': [13, 3, 11], 'sm_frequency': 'Often', 'change_mind': 'No', 'more_informed': 'No', 'political_trust': 'I trust some political news', 'source_rel': 'Somewhat relevant', 'logic_rel': 'A little relevant', 'emotion_rel': 'Relevant', 'bot_involved': 'No'}",ajqpobGvD7GC7GzX2,2024-11-21 21:32:42.219,"{'at': datetime.datetime(2024, 11, 21, 21, 0, 48, 983000)}",False,,2024-11-21 21:32:41.483,2024-11-21 21:01:20.090,ajqpobGvD7GC7GzX2,2024-11-21 21:31:14.621,finished
nAGtMYTH5K2ZY8TXP,D1,{},7,['ExitSurvey'],2024-11-21 21:01:00.887,"{'personality': '{""user_id"": ""D1"", ""age"": ""25-34"", ""gender"": ""Female"", ""race"": ""White"", ""political"": ""Republican"", ""politicalStrength"": ""Neutral"", ""location"": ""New Hampshire"", ""education"": ""High school diploma"", ""occupation"": ""Customer Service Manager"", ""Extraversion"": 7, ""Agreeableness"": 9, ""Conscientiousness"": 10, ""Neuroticism"": 2, ""Openness"": 5}', 'statement': [{'_id': 0, 'statement': 'The United States does not produce the most oil in the world.', 'factual': False}, {'_id': 1, 'statement': 'Electric vehicles and hybrid vehicles have surged in popularity in the United States, making up 30% of all cars on the road.', 'factual': False}, {'_id': 2, 'statement': 'While gas prices are expensive in certain states, it is consistently most expensive in California and West Coast states.', 'factual': True}], 'avatar': '/avatars/jdenticon/nAGtMYTH5K2ZY8TXP', 'nodeId': 10, 'neighbors': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14], 'base_connections': [13, 11, 4], 'InitialConnectionsForThisRound': [13, 11, 12], 'sm_frequency': 'Rarely', 'change_mind': 'No', 'more_informed': 'No', 'political_trust': 'I am skeptical of some political news', 'source_rel': 'A little relevant', 'logic_rel': 'Not relevant', 'emotion_rel': 'Not relevant', 'bot_involved': 'Maybe', 'feedback': 'I felt my descriptions and reasoning were better than the answers I was receiving, but that is not unusual I would say, I am a smart thinker, and am very intelligent, not to put anyone down. '}",ajqpobGvD7GC7GzX2,2024-11-21 21:34:33.747,"{'at': datetime.datetime(2024, 11, 21, 21, 1, 1, 73000)}",False,,2024-11-21 21:34:32.812,2024-11-21 21:01:22.114,ajqpobGvD7GC7GzX2,2024-11-21 21:31:14.621,finished
vuBR83kXgfFZXZk27,Pogo1,{},8,['ExitSurvey'],2024-11-21 21:02:58.702,"{'personality': '{""user_id"": ""Pogo1"", ""age"": ""35-44"", ""gender"": ""Male"", ""race"": ""White"", ""political"": ""Democrat"", ""politicalStrength"": ""Neutral"", ""location"": ""North Carolina"", ""education"": ""Bachelor\'s degree"", ""occupation"": ""Production Manager"", ""Extraversion"": 8, ""Agreeableness"": 9, ""Conscientiousness"": 9, ""Neuroticism"": 3, ""Openness"": 10}', 'statement': [{'_id': 0, 'statement': 'The United States does not produce the most oil in the world.', 'factual': False}, {'_id': 1, 'statement': 'Electric vehicles and hybrid vehicles have surged in popularity in the United States, making up 30% of all cars on the road.', 'factual': False}, {'_id': 2, 'statement': 'While gas prices are expensive in certain states, it is consistently most expensive in California and West Coast states.', 'factual': True}], 'avatar': '/avatars/jdenticon/vuBR83kXgfFZXZk27', 'nodeId': 13, 'neighbors': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14], 'base_connections': [0, 8, 2], 'InitialConnectionsForThisRound': [8, 12, 10], 'sm_frequency': 'Often', 'change_mind': 'Yes', 'more_informed': 'No', 'political_trust': 'I am skeptical of all political news', 'source_rel': 'Not relevant', 'logic_rel': 'A little relevant', 'emotion_rel': 'Not relevant', 'bot_involved': 'No', 'feedback': 'I had no issues whatsoever. I just feel this survey could have been sped up much more.'}",ajqpobGvD7GC7GzX2,2024-11-21 21:35:50.037,"{'at': datetime.datetime(2024, 11, 21, 21, 2, 58, 878000)}",False,,2024-11-21 21:33:55.013,2024-11-21 21:03:27.010,ajqpobGvD7GC7GzX2,2024-11-21 21:31:14.621,finished
koSfnPAkxd2yyh9R3,AP90,{},9,['ExitSurvey'],2024-11-21 21:03:49.104,"{'personality': '{""user_id"": ""AP90"", ""age"": ""25-34"", ""gender"": ""Male"", ""race"": ""hispanic"", ""political"": ""Democrat"", ""politicalStrength"": ""Somewhat Strong"", ""location"": ""New Mexico"", ""education"": ""High school diploma"", ""occupation"": ""Cleaner"", ""Extraversion"": 2, ""Agreeableness"": 6, ""Conscientiousness"": 6, ""Neuroticism"": 7, ""Openness"": 7}', 'statement': [{'_id': 0, 'statement': 'The United States does not produce the most oil in the world.', 'factual': False}, {'_id': 1, 'statement': 'Electric vehicles and hybrid vehicles have surged in popularity in the United States, making up 30% of all cars on the road.', 'factual': False}, {'_id': 2, 'statement': 'While gas prices are expensive in certain states, it is consistently most expensive in California and West Coast states.', 'factual': True}], 'avatar': '/avatars/jdenticon/koSfnPAkxd2yyh9R3', 'nodeId': 9, 'neighbors': [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14], 'base_connections': [13, 6, 11], 'InitialConnectionsForThisRound': [0, 11, 8], 'sm_frequency': 'Sometimes', 'change_mind': 'No', 'more_informed': 'Yes', 'political_trust': 'I am skeptical of all political news', 'source_rel': 'Relevant', 'logic_rel': 'Relevant', 'emotion_rel': 'Relevant', 'bot_involved': 'No'}",ajqpobGvD7GC7GzX2,2024-11-21 21:36:03.154,"{'at': datetime.datetime(2024, 11, 21, 21, 3, 49, 291000)}",True,True,2024-11-21 21:36:00.729,2024-11-21 21:04:23.802,ajqpobGvD7GC7GzX2,2024-11-21 21:31:14.621,finished
9CLpDP2wGD26ib5zo,kg531,{},10,['ExitSurvey'],2024-11-21 21:03:57.830,"{'personality': '{""user_id"": ""kg531"", ""age"": ""45-54"", ""gender"": ""Female"", ""race"": ""White"", ""political"": ""Independent"", ""politicalStrength"": ""Neutral"", ""location"": ""Florida"", ""education"": ""Graduate or professional degree"", ""occupation"": ""copywriter"", ""Extraversion"": 5, ""Agreeableness"": 7, ""Conscientiousness"": 10, ""Neuroticism"": 7, ""Openness"": 8}', 'statement': [{'_id': 0, 'statement': 'The United States does not produce the most oil in the world.', 'factual': False}, {'_id': 1, 'statement': 'Electric vehicles and hybrid vehicles have surged in popularity in the United States, making up 30% of all cars on the road.', 'factual': False}, {'_id': 2, 'statement': 'While gas prices are expensive in certain states, it is consistently most expensive in California and West Coast states.', 'factual': True}], 'avatar': '/avatars/jdenticon/9CLpDP2wGD26ib5zo', 'nodeId': 0, 'neighbors': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], 'base_connections': [5, 8, 14], 'InitialConnectionsForThisRound': [8, 14, 13], 'sm_frequency': 'Sometimes', 'change_mind': 'No', 'more_informed': 'No', 'political_trust': 'I am skeptical of some political news', 'source_rel': 'Somewhat relevant', 'logic_rel': 'Somewhat relevant', 'emotion_rel': 'Somewhat relevant', 'bot_involved': 'Yes'}",ajqpobGvD7GC7GzX2,2024-11-21 21:33:10.817,"{'at': datetime.datetime(2024, 11, 21, 21, 3, 58, 16000)}",True,True,2024-11-21 21:33:09.962,2024-11-21 21:04:06.038,ajqpobGvD7GC7GzX2,2024-11-21 21:31:14.621,finished
